Borough,Grade,Year,ELL,Number Tested,Mean Scale Score,# Level 1,% Level 1,# Level 2,% Level 2,# Level 3,% Level 3,# Level 4,% Level 4,# Level 3+4,% Level 3+4,Group
QUEENS,7,2017,Ever ELL,4373,320.7333679,797,18.22547531,1394,31.87742996,1209,27.64692497,973,22.25017166,2182,49.89709473,Ever ELL_Queens_2016-2017
QUEENS,6,2016,Never ELL,13647,312.5476074,2828,20.72250366,4513,33.06953812,2499,18.31171608,3807,27.89624023,6306,46.20795822,Never ELL_Queens_2016-2017
QUEENS,7,2017,Never ELL,13315,314.1227112,3552,26.67667961,3785,28.42658615,3267,24.53623772,2711,20.36049652,5978,44.89673233,Never ELL_Queens_2016-2017
STATEN ISLAND,6,2016,Current ELL,195,267.6769104,124,63.58974457,56,28.71794891,9,4.615384579,6,3.076923132,15,7.692307472,Current ELL_Staten-Island_2014-2017
STATEN ISLAND,7,2017,Current ELL,189,267.5238037,152,80.42327881,30,15.8730154,5,2.645502567,2,1.058201075,7,3.703703642,Current ELL_Staten-Island_2014-2017
STATEN ISLAND,6,2016,Ever ELL,351,311.3190918,63,17.94871712,146,41.59543991,59,16.80911636,83,23.64672279,142,40.45584106,Ever ELL_Staten-Island_2014-2017
STATEN ISLAND,7,2017,Ever ELL,393,311.5114441,107,27.22646332,125,31.80661583,96,24.4274807,65,16.53944016,161,40.96692276,Ever ELL_Staten-Island_2014-2017
STATEN ISLAND,6,2016,Never ELL,3507,307.8434448,814,23.21072197,1232,35.12974167,664,18.93356133,797,22.72597694,1461,41.65953827,Never ELL_Staten-Island_2014-2017
STATEN ISLAND,7,2017,Never ELL,3439,310.250946,984,28.61296844,1030,29.95056725,896,26.05408478,529,15.38237858,1425,41.4364624,Never ELL_Staten-Island_2014-2017
BRONX,6,2017,Current ELL,2533,262.301239,1828,72.16738892,579,22.85827065,98,3.868930101,28,1.105408549,126,4.974338531,Current ELL_Bronx_2017
BRONX,6,2017,Ever ELL,1991,299.0903931,588,29.53289795,814,40.8839798,356,17.88046265,233,11.70266247,589,29.58312416,Ever ELL_Bronx_2017
BRONX,6,2017,Never ELL,9765,286.5441895,4321,44.2498703,3264,33.42549896,1307,13.38453674,873,8.940092087,2180,22.32462883,Never ELL_Bronx_2017
BROOKLYN,6,2017,Current ELL,2484,274.110321,1467,59.05797195,670,26.97262573,207,8.333333015,140,5.636070728,347,13.96940422,Current ELL_Brooklyn_2017
BROOKLYN,6,2017,Ever ELL,3307,319.3755798,565,17.08497047,1017,30.75294876,644,19.47384262,1081,32.68823624,1725,52.16207886,Ever ELL_Brooklyn_2017
BROOKLYN,6,2017,Never ELL,13395,301.6813049,4453,33.24374771,3993,29.80963135,2128,15.88652515,2821,21.06009674,4949,36.94662094,Never ELL_Brooklyn_2017
MANHATTAN,6,2017,Current ELL,853,271.3352966,537,62.95428085,207,24.26729202,69,8.089097023,40,4.689332008,109,12.77842903,Current ELL_Manhattan_2017
